context, response
"I cannot afford my last item, how can I cancel the order?","intent: cancel_order, variable name: unspecified, variable value: unspecified"
"I don't want this item, cancel order A5R7O0W1","intent: cancel_order, variable name: order_number, variable value: A5R7O0W1"
I no longer want order MUJ3F95U,"intent: cancel_order, variable name: order_number, variable value: MUJ3F95U"
can you help me to cancel order 7925AIWI?,"intent: cancel_order, variable name: order_number, variable value: 7925AIWI"
cancelling order XMNJP80P,"intent: cancel_order, variable name: order_number, variable value: XMNJP80P"
"I do not want this item, I try to cancel order V62KS87X","intent: cancel_order, variable name: order_number, variable value: V62KS87X"
what do I have to do to cancel order NIOK9UN2?,"intent: cancel_order, variable name: order_number, variable value: NIOK9UN2"
I can no longer afford order UPHZCNYW,"intent: cancel_order, variable name: order_number, variable value: UPHZCNYW"
I need help canceling order O0MFFPWU,"intent: cancel_order, variable name: order_number, variable value: O0MFFPWU"
I have problems with canceling purchase LL2WC02Z,"intent: cancel_order, variable name: order_number, variable value: LL2WC02Z"
i want help canceling order NPHC4HR9,"intent: cancel_order, variable name: order_number, variable value: NPHC4HR9"
help with canceling purchase 6E2QWDFE,"intent: cancel_order, variable name: order_number, variable value: 6E2QWDFE"
I don't know how to cancel purchase XESUYRTR,"intent: cancel_order, variable name: order_number, variable value: XESUYRTR"
"I do not want my last bloody item, cancel order B6W0L0L8","intent: cancel_order, variable name: order_number, variable value: B6W0L0L8"
can ya help me to cancel order 0542YDV7,"intent: cancel_order, variable name: order_number, variable value: 0542YDV7"
i dont want order HCWUPORG,"intent: cancel_order, variable name: order_number, variable value: HCWUPORG"
could you help me to cancel purchase L9IL26CM?,"intent: cancel_order, variable name: order_number, variable value: L9IL26CM"
have problems wth cancelling order 2HU0KVUA,"intent: cancel_order, variable name: order_number, variable value: 2HU0KVUA"
I need help with cancelling purchase KMCOKO73,"intent: cancel_order, variable name: order_number, variable value: KMCOKO73"
i dont want this artilce cancel order PEPERZS6,"intent: cancel_order, variable name: order_number, variable value: PEPERZS6"
I cannot afford order QSSP5BBY,"intent: cancel_order, variable name: order_number, variable value: QSSP5BBY"
need help with canceling purchase 12CN8AEY,"intent: cancel_order, variable name: order_number, variable value: 12CN8AEY"
I try to cancel purchase QSJTU4WK,"intent: cancel_order, variable name: order_number, variable value: QSJTU4WK"
"I bought some article, help canceling order MCOV8AG0","intent: cancel_order, variable name: order_number, variable value: MCOV8AG0"
can you help me cancelling oredr R1YD09GY?,"intent: cancel_order, variable name: order_number, variable value: R1YD09GY"
help  with cancelling order ZY59SRQO,"intent: cancel_order, variable name: order_number, variable value: ZY59SRQO"
assistance to cancel purchase L34E5DJ2,"intent: cancel_order, variable name: order_number, variable value: L34E5DJ2"
help to cancel purchase 7VD7QE0X,"intent: cancel_order, variable name: order_number, variable value: 7VD7QE0X"
can you help me cancelling order 6CJ9V044?,"intent: cancel_order, variable name: order_number, variable value: 6CJ9V044"
i dont want purchase UIG510PU,"intent: cancel_order, variable name: order_number, variable value: UIG510PU"
canmcel order 1SNPEBZ8,"intent: cancel_order, variable name: order_number, variable value: 1SNPEBZ8"
help cancelling my bloody purchase,"intent: cancel_order, variable name: unspecified, variable value: unspecified"
assistance cancelling purchase DVU7OIEH,"intent: cancel_order, variable name: order_number, variable value: DVU7OIEH"
can you help me to cancel order S4CELMM4 ?,"intent: cancel_order, variable name: order_number, variable value: S4CELMM4"
I need assistance with canceling purchase 2Y3EEZXX,"intent: cancel_order, variable name: order_number, variable value: 2Y3EEZXX"
is it possible to cancel purchase H17KP2NH,"intent: cancel_order, variable name: order_number, variable value: H17KP2NH"
canceling order,"intent: cancel_order, variable name: unspecified, variable value: unspecified"
problems with cancelling order XVEFGZUD,"intent: cancel_order, variable name: order_number, variable value: XVEFGZUD"
what do I have to do to cancel purchase LKID1MZB?,"intent: cancel_order, variable name: order_number, variable value: LKID1MZB"
I need assistance canceling purchase XPO2C9WX,"intent: cancel_order, variable name: order_number, variable value: XPO2C9WX"
I want help cancelling purchase BPL91IOG,"intent: cancel_order, variable name: order_number, variable value: BPL91IOG"
i want help canceling order M8EHZSR0,"intent: cancel_order, variable name: order_number, variable value: M8EHZSR0"
I want assistance to cancle purchase ABNEBL5G,"intent: cancel_order, variable name: order_number, variable value: ABNEBL5G"
i do not know how to cancel purchasw UNKTMQD0,"intent: cancel_order, variable name: order_number, variable value: UNKTMQD0"
question about cancelling purchase IBAFFANT,"intent: cancel_order, variable name: order_number, variable value: IBAFFANT"
help me cancel purchase UCEDFMFL,"intent: cancel_order, variable name: order_number, variable value: UCEDFMFL"
i dont want purchase SIXPV96J could i cancel it,"intent: cancel_order, variable name: order_number, variable value: SIXPV96J"
i obught some item help me canceling order NX7AU7SM,"intent: cancel_order, variable name: order_number, variable value: NX7AU7SM"
I'm trying to cancel purchase 1RKSXBO2,"intent: cancel_order, variable name: order_number, variable value: 1RKSXBO2"
problems with canceling purchase WO9KPI1C,"intent: cancel_order, variable name: order_number, variable value: WO9KPI1C"
cancelling order C5X725F6,"intent: cancel_order, variable name: order_number, variable value: C5X725F6"
canceling purchase L64NKEV9,"intent: cancel_order, variable name: order_number, variable value: L64NKEV9"
i dont khow how to cancel order CRRLNWIK,"intent: cancel_order, variable name: order_number, variable value: CRRLNWIK"
I need assistance cancelling order IRN051PA,"intent: cancel_order, variable name: order_number, variable value: IRN051PA"
how can I cancel purchase G17FMJX3?,"intent: cancel_order, variable name: order_number, variable value: G17FMJX3"
I can no longer afford purchase C9RGE4CR,"intent: cancel_order, variable name: order_number, variable value: C9RGE4CR"
I want help to cancle purchase BA1CMSFW,"intent: cancel_order, variable name: order_number, variable value: BA1CMSFW"
I can't afford order KJ22L2RZ,"intent: cancel_order, variable name: order_number, variable value: KJ22L2RZ"
canmcel order XDL2CK5C,"intent: cancel_order, variable name: order_number, variable value: XDL2CK5C"
help me canceling purchase Q9Q29YVR,"intent: cancel_order, variable name: order_number, variable value: Q9Q29YVR"
I try to cancel purchase R3WJR6HY,"intent: cancel_order, variable name: order_number, variable value: R3WJR6HY"
I don't want purchase 67U477RU,"intent: cancel_order, variable name: order_number, variable value: 67U477RU"
I need help with cancelling purchase URU2G6YD,"intent: cancel_order, variable name: order_number, variable value: URU2G6YD"
I have got to cancel purcahse UPF88KZB,"intent: cancel_order, variable name: order_number, variable value: UPF88KZB"
help me to cancel purchase 8WK7HRW2,"intent: cancel_order, variable name: order_number, variable value: 8WK7HRW2"
I need help cancelling oredr JJDSN1EX,"intent: cancel_order, variable name: order_number, variable value: JJDSN1EX"
help me canceling purchase OM72A58T,"intent: cancel_order, variable name: order_number, variable value: OM72A58T"
i want help canceling order ELCFSM01,"intent: cancel_order, variable name: order_number, variable value: ELCFSM01"
I need help to cancel order MV5ZYZUD,"intent: cancel_order, variable name: order_number, variable value: MV5ZYZUD"
I want assistance to cancel purchase SX35T69M,"intent: cancel_order, variable name: order_number, variable value: SX35T69M"
I don't know how I can cancel purchase S20SFP5D,"intent: cancel_order, variable name: order_number, variable value: S20SFP5D"
cance order MODTY5NV,"intent: cancel_order, variable name: order_number, variable value: MODTY5NV"
problems with cancelling purchase GI8BJZ6Q,"intent: cancel_order, variable name: order_number, variable value: GI8BJZ6Q"
need assistance to cancel order B9B2KJPK,"intent: cancel_order, variable name: order_number, variable value: B9B2KJPK"
I no longerr want purchase KQIF0S77,"intent: cancel_order, variable name: order_number, variable value: KQIF0S77"
I need assistance canceling order VIFM9UB9,"intent: cancel_order, variable name: order_number, variable value: VIFM9UB9"
i have to cancel purchase C92Q4YRU,"intent: cancel_order, variable name: order_number, variable value: C92Q4YRU"
i dont want order BVST1KKC,"intent: cancel_order, variable name: order_number, variable value: BVST1KKC"
I need help canceling purchase SYVDRFF0,"intent: cancel_order, variable name: order_number, variable value: SYVDRFF0"
i do not know how i can cancel order LFSGY215,"intent: cancel_order, variable name: order_number, variable value: LFSGY215"
canceling purchase BBIKNHAB,"intent: cancel_order, variable name: order_number, variable value: BBIKNHAB"
I want assistance canceling purchase HQ4HXUER,"intent: cancel_order, variable name: order_number, variable value: HQ4HXUER"
assistance with cancelling purchase KHUY91RS,"intent: cancel_order, variable name: order_number, variable value: KHUY91RS"
problem witth cancelling order D2ICFGJ7,"intent: cancel_order, variable name: order_number, variable value: D2ICFGJ7"
I want assistance to cancel purchase 6BZIT276,"intent: cancel_order, variable name: order_number, variable value: 6BZIT276"
"I bought some items, help canceling order 31QDVVL9","intent: cancel_order, variable name: order_number, variable value: 31QDVVL9"
I need assistance with cancelling order N0UFHL79,"intent: cancel_order, variable name: order_number, variable value: N0UFHL79"
I need assistance cancelling purcjase QTD03EE4,"intent: cancel_order, variable name: order_number, variable value: QTD03EE4"
i dont want order HX0YLNWW,"intent: cancel_order, variable name: order_number, variable value: HX0YLNWW"
I can no longer afford purchase UFU30AWA,"intent: cancel_order, variable name: order_number, variable value: UFU30AWA"
what do i need to do to cancel order H8BDFQAH,"intent: cancel_order, variable name: order_number, variable value: H8BDFQAH"
I need assistance canceling purchase BYNXEP5I,"intent: cancel_order, variable name: order_number, variable value: BYNXEP5I"
i need assistance with canceling order C3SFIK32,"intent: cancel_order, variable name: order_number, variable value: C3SFIK32"
I can't pay for purchase 57ZM0HP5,"intent: cancel_order, variable name: order_number, variable value: 57ZM0HP5"
I do not want purchase J9FJ1VGS,"intent: cancel_order, variable name: order_number, variable value: J9FJ1VGS"
cancel purchase732201349959,"intent: cancel_order, variable name: unspecified, variable value: unspecified"
I do not know how I can cancel purchase VZKDFF97,"intent: cancel_order, variable name: order_number, variable value: VZKDFF97"
need help with canceling purchase O1ND3MWE,"intent: cancel_order, variable name: order_number, variable value: O1ND3MWE"
I can no longer pay for purchase 7L2PYRPG,"intent: cancel_order, variable name: order_number, variable value: 7L2PYRPG"
I need help to cancel purchase370795561790,"intent: cancel_order, variable name: unspecified, variable value: unspecified"
I do not know how I can cancel purchase QB3JC3UC,"intent: cancel_order, variable name: order_number, variable value: QB3JC3UC"
